Run ID,Month_0_Ratio,Month_1_Ratio,Month_2_Ratio,Month_3_Ratio,Month_4_Ratio,Month_5_Ratio,Month_6_Ratio,Month_7_Ratio,Month_8_Ratio,Month_9_Ratio,Month_10_Ratio,Month_11_Ratio,Month_12_Ratio,Month_13_Ratio,Month_14_Ratio,Month_15_Ratio,Month_16_Ratio,Month_17_Ratio,Month_18_Ratio,Month_19_Ratio,Month_20_Ratio,Month_21_Ratio,Month_22_Ratio,Month_23_Ratio,Month_24_Ratio,Month_25_Ratio,Month_26_Ratio,Month_27_Ratio,Month_28_Ratio,Month_29_Ratio,Month_30_Ratio,Month_31_Ratio,Month_32_Ratio,Month_33_Ratio,Month_34_Ratio,Month_35_Ratio
336,35.436211340206185,32.268547544409614,33.01724137931034,32.948743718592965,32.2455268389662,30.449810606060606,28.830523513753327,28.541964285714286,26.8463476070529,28.563279857397504,25.468051118210862,26.106882591093118,25.911908646003262,25.76326530612245,23.63731343283582,24.03260045489007,23.677611940298508,23.646532438478747,22.36861051115911,22.82041998551774,22.533045977011493,22.63537906137184,20.981694915254238,20.999332888592395,21.20640326975477,20.263192182410425,21.53200275292498,20.35467015022861,19.09912718204489,20.222295081967214,19.412101910828024,18.847058823529412,18.442238267148014,17.86075205640423,17.449283667621778,17.698235294117648
337,17.754565376187,15.506806282722513,17.41337386018237,16.59248554913295,16.53771760154739,15.905342080599812,15.65662100456621,15.824790307548929,15.08003597122302,16.520772946859903,14.804537521815009,14.756872852233677,14.381033022861981,15.219004524886877,13.700652528548124,14.172901080631753,13.85725938009788,13.989300411522633,13.418211120064464,13.985086992543497,13.635852090032154,14.080334728033472,13.085308056872037,12.728301886792453,13.924355777223608,12.766968325791856,13.3061863743148,13.2890625,12.495109104589917,12.71450265755505,12.82846153846154,12.680981595092025,12.747152619589977,11.768465909090908,11.804255319148936,11.953284671532847
338,12.80789407944042,11.75969868173258,12.416793313069908,12.125832716506292,12.021064301552107,11.832232011747431,11.646109716744354,11.344238975817923,10.824864498644986,11.325671852899575,10.50048971596474,10.699701690420948,10.84813559322034,10.55324151830702,10.122840690978887,10.091917591125197,10.02655706607651,10.150479233226838,9.56246153846154,9.811273746496418,9.710697674418604,9.911069063386945,9.41780613795199,9.451322115384615,9.434202546998181,9.465208143421453,9.341194029850746,9.268133174791915,8.62289088863892,9.091229099442652,8.88943846377655,8.671790492456589,8.4026330224904,8.397683397683398,8.412203202650469,8.353820598006644
339,46.696599825632084,41.27529411764706,42.0242774566474,41.47386363636364,38.74865735767992,36.78622816032888,35.092233009708735,34.72,30.192340425531913,32.710357470210816,29.53156146179402,29.26044226044226,30.63431542461005,28.61324611610793,27.20092735703246,26.11367013372957,25.447901591895803,26.03037037037037,23.385240352064997,24.374125874125873,23.70958904109589,23.855082417582416,22.005121638924457,22.229591836734695,21.90828025477707,21.350124378109452,22.223726627981947,20.795881284070262,19.137032842582105,19.913196480938417,18.904009034443817,18.44169416941694,18.185105234754452,17.825227151256012,17.451041666666665,17.510783798001054
340,33.04571106094808,29.781664656212303,31.91319857312723,31.13693901035673,30.26126126126126,29.204819277108435,28.953763440860214,28.57281553398058,27.747643979057592,28.952017448200653,26.570281124497992,25.545192307692307,25.63147605083089,27.095435684647303,24.165745856353592,24.679439252336447,23.945454545454545,24.093406593406595,23.025892857142857,23.634389140271495,23.462093862815884,24.332708528584817,21.822525597269625,21.33662551440329,22.83082373782108,21.53299916457811,22.533678756476682,21.55481727574751,21.00578512396694,21.29824561403509,21.20603015075377,20.431909750201452,20.535656401944895,19.0546282245827,18.345481049562682,19.260601387818042
341,23.265790589232726,20.64937106918239,22.292586750788644,21.51664145234493,21.626247122026093,20.66839378238342,19.84199438202247,19.74609929078014,19.07481125600549,19.472727272727273,17.927284427284427,18.12072304712718,17.990897269180753,18.260119442601194,16.8373934226553,17.354738154613468,16.623649459783913,16.463414634146343,15.967817437097718,16.588835534213686,16.329565734681736,16.583081570996978,15.310169491525423,15.41866964784796,16.004670169293636,15.136615044247788,15.623229461756374,15.290089086859687,14.2330866807611,14.927472527472528,14.826710816777043,14.587533875338753,13.961737331954499,13.577856420626896,13.091395235780263,13.495184997465788
342,13.350013672409078,12.463097713097714,13.560358460727464,12.96830985915493,12.849874055415617,12.768765743073049,12.41864983001457,12.417533432392274,12.16003879728419,12.574138791812281,11.695773339526243,12.037352245862884,11.93839541547278,11.972959922742636,11.354545454545455,11.586445366528354,11.510814542107685,11.239208633093526,10.90391459074733,11.300591177808094,10.998215082552433,11.228740336516598,10.593899782135077,10.783653846153847,10.966949531040644,10.566709566709566,10.891523935002196,10.71763683753258,10.357020547945206,10.734622144112478,10.363714531384352,10.47633521493704,10.223584108199493,10.030556718292173,9.651087832393232,9.79330301777594
343,40.27749453750911,36.66253101736973,38.514110429447854,37.97111913357401,36.61313012895663,34.91647855530474,33.005274261603375,32.6118769883351,31.267276422764226,32.70806794055202,29.365550239234448,29.98840579710145,29.727891156462587,29.860510805500983,27.84397810218978,28.424326833797586,27.038053097345134,27.353887399463808,26.219405594405593,26.67280701754386,26.916295636687444,27.04289544235925,24.75767634854772,24.641171684296175,25.112781954887218,23.85214626391097,25.000827814569536,23.31216111541441,22.483625285605484,23.309803921568626,22.464831804281346,21.76962962962963,21.977695167286246,20.690627202255108,20.676511954992968,20.965367965367964
344,13.11236641221374,12.476739562624255,13.156454248366012,12.843974461292897,12.673550436854647,12.742052313883299,12.275755228505036,12.047508690614137,11.915358100344696,12.084883720930232,11.745788094346686,11.99771167048055,11.737339380196524,11.763238679969302,11.310726133431626,11.58051166290444,11.322521194249909,11.040143369175627,10.781954887218046,10.998558038932948,10.81867145421903,10.877477477477477,10.61814946619217,10.576842105263157,10.502112676056338,10.212714776632302,10.618710134656272,10.456252213956784,10.07133011716058,10.72252448313384,10.265111346765641,9.994146005509641,10.051610668514028,9.678006062647356,9.473337722185649,9.576225654801881
345,4.051580494976721,3.902921999517025,4.047064305684995,4.022874306839187,4.001391788448156,4.030210054283692,3.924549806245726,3.8703618873110397,3.7714415026023986,3.9500816421740144,3.7839162396970374,3.987949015063731,3.832150217540646,3.9413688390562953,3.8763863216266174,3.842857142857143,3.8246013667425967,3.830621132248453,3.7355409389884326,3.8663892741562647,3.7714285714285714,3.8633278726889775,3.7258360054970225,3.890570430733411,3.869290231904427,3.7629359471164805,3.767305524239008,3.885767790262172,3.68073519400953,3.7993534980374046,3.7948896631823463,3.743891194098663,3.7462445112086895,3.67704280155642,3.643098401260977,3.6052512449071976
346,19.619134396355353,18.33886462882096,19.272727272727273,19.747377622377623,19.30472103004292,18.987223168654175,18.31591836734694,18.864841745081264,17.72778675282714,19.06649395509499,18.00162999185004,18.154095701540957,17.758508914100485,18.084577114427862,17.219607843137254,17.359154929577464,17.35298742138365,17.25176470588235,17.176703645007922,17.456349206349206,16.706106870229007,17.246445497630333,16.407181054239878,16.257609502598367,16.444360333081,15.909620991253645,17.22248243559719,16.743531202435314,16.542594013814274,17.115748031496064,16.398932112890922,15.92079940784604,16.60355486862442,15.627465303140978,15.145685997171146,15.559882439382807
347,16.309369676320273,14.570552147239264,15.703001579778832,15.235532994923858,15.256160164271048,15.021417644059154,14.446116504854368,14.453063241106719,13.556432884347423,14.355424644084438,13.19286359530262,13.461362597165067,13.564651162790698,13.384794776119403,12.631601920558708,12.928888888888888,12.504543487667677,12.566782307025152,12.04541595925297,12.253521126760564,12.209381663113007,12.484769364664926,11.905684210526315,11.776862906545905,11.97632135306554,11.703917525773196,11.975334448160535,11.61233660130719,10.90589613432253,11.334947538337369,11.006764822920811,10.875834970530452,10.639281620175774,10.420437405731523,10.243893412287195,10.47112810707457
348,17.767045454545453,16.99040511727079,18.06957424714434,17.20808678500986,17.692073170731707,17.46490335707019,16.848837209302324,16.598249027237355,16.30028873917228,17.380368098159508,17.10625620655412,17.53030303030303,16.683333333333334,16.835143139190524,16.299424184261035,16.306818181818183,16.705653021442494,17.223790322580644,16.26504854368932,16.680432645034415,17.022977022977024,16.867602808425275,15.959692898272554,15.657773689052437,15.611317254174397,15.500912408759124,16.80648330058939,15.931519699812382,15.958055290753098,16.791417165668662,16.25940212150434,16.30019493177388,16.68426294820717,15.394444444444444,15.478584729981378,16.13497536945813
349,17.577076532462822,16.148019457956913,17.907394113424264,17.066621346023112,16.919618528610354,16.856262833675565,16.122409326424872,16.323549032688458,15.951012410189419,16.3085600530856,15.118299445471349,15.462928348909657,15.241206030150753,15.655217109526896,14.498212157330155,14.826165960024229,14.690734055354994,14.555555555555555,14.161252215002953,14.414243323442136,14.391044776119402,14.918468190240889,13.835855646100116,13.612994350282486,13.981871345029239,13.80447247706422,13.982173663024726,13.836477987421384,13.410663641520136,13.647967945048654,13.320541760722348,13.227069351230424,13.344808126410836,12.563772775991426,12.41622760800843,12.516163793103448
